Solvent_SMILES,Solute_SMILES
OCC(O)COCC(O)CO,CCCc1ccco1
OCC(O)COCC(O)CO,CCCc1ccco1
OCC(O)COCC(O)CO,CCCc1ccco1
OCC(O)COCC(O)CO,C1CCOC1
OCC(O)COCC(O)CO,C1CCOC1
OCC(O)COCC(O)CO,c1ccoc1
OCC(O)COCC(O)CO,c1ccoc1
OCC(O)COCC(O)CO,c1ccoc1
OCC(O)COCC(O)CO,C[N+](=O)[O-]
OCC(O)COCC(O)CO,CO
OCC(O)COCC(O)CO,CO
OCC(O)COCC(O)CO,CCC[N+](=O)[O-]
OCC(O)CCl,c1ccccc1
OCC(O)CCl,CCC1CCCCC1
OCC(O)CCl,CC1CCCCC1
OCC(O)CCl,CC1CCCCC1
OCC(O)CCl,C1CCCCC1
OCC(O)CCl,CCCCCCC
OCC(O)CCl,CCCCCCC
OCC(O)CCl,CCCCCC
OCC(O)CCl,CCCCCC
OCC(O)CCl,CCCCCCCCC
OCC(O)CCl,CCCCCCCC
OCC(O)CCl,Cc1ccccc1
OCC(O)CCl,Cc1ccccc1
CC(O)CO,c1ccccc1
CC(O)CO,c1ccccc1
CC(O)CO,c1ccccc1
CC(O)CO,CCC1CCCCC1
CC(O)CO,CCC1CCCCC1
CC(O)CO,CC1CCCCC1
CC(O)CO,C1CCCCC1
CC(O)CO,C1CCCCC1
CC(O)CO,C1CCCCC1
CC(O)CO,C1CCCCC1
CC(O)CO,C1=CCCCC1
CC(O)CO,C1=CCCCC1
CC(O)CO,CCO
CC(O)CO,CCO
CC(O)CO,CCCCCCC
CC(O)CO,CCCCCC
CC(O)CO,CCCCCC
CC(O)CO,CCCCCCCC
CC(O)CO,Cc1ccccc1
CC(O)CO,Cc1ccccc1
CC(O)CO,Cc1ccccc1
CC(O)CO,Cc1ccccc1
CC(O)CO,Cc1ccccc1
CC(O)CO,Cc1ccccc1
CC(O)CO,O
CC(O)CO,O
CC(O)CO,O
Cc1nnc(C)o1,C=CCCCCCC
Cc1nnc(C)o1,c1ccccc1
Cc1nnc(C)o1,CCC1CCCCC1
Cc1nnc(C)o1,CC1CCCCC1
Cc1nnc(C)o1,C1CCCCC1
Cc1nnc(C)o1,C1=CCCCC1
