ID,Type,Compound_1,Compound_2,Compound_3,T_K,P_kPa,x_1,x_2,y_1,y_2
3,Isobaric,Benzene,Heptane,Dimethylformamide,389.35,101.325,0.081,0.047,0.27,0.442
3,Isobaric,Benzene,Heptane,Dimethylformamide,389.85,101.325,0.084,0.038,0.309,0.395
3,Isobaric,Benzene,Heptane,Dimethylformamide,391.3,101.325,0.103,0.03,0.376,0.318
3,Isobaric,Benzene,Heptane,Dimethylformamide,391.8,101.325,0.093,0.032,0.355,0.329
3,Isobaric,Benzene,Heptane,Dimethylformamide,392.1,101.325,0.099,0.029,0.379,0.308
3,Isobaric,Benzene,Heptane,Dimethylformamide,394.1,101.325,0.093,0.027,0.37,0.292
3,Isobaric,Benzene,Heptane,Dimethylformamide,394.35,101.325,0.079,0.032,0.305,0.352
3,Isobaric,Benzene,Heptane,Dimethylformamide,395.35,101.325,0.09,0.033,0.316,0.317
3,Isobaric,Benzene,Heptane,Dimethylformamide,396.2,101.325,0.084,0.026,0.335,0.309
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,364.55,101.325,0.379,0.372,0.55,0.443
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,364.65,101.325,0.487,0.197,0.682,0.31
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,364.7,101.325,0.441,0.25,0.621,0.371
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,364.75,101.325,0.384,0.348,0.555,0.438
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,364.75,101.325,0.335,0.408,0.515,0.479
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,364.9,101.325,0.423,0.319,0.597,0.393
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,364.95,101.325,0.519,0.138,0.729,0.262
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,365.25,101.325,0.314,0.417,0.496,0.496
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,365.9,101.325,0.249,0.507,0.431,0.561
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,365.95,101.325,0.542,0.096,0.775,0.215
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,366.4,101.325,0.221,0.569,0.4,0.593
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,366.45,101.325,0.581,0.057,0.849,0.141
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,367.65,101.325,0.583,0.032,0.889,0.095
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,368.45,101.325,0.556,0.035,0.882,0.105
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,368.8,101.325,0.273,0.294,0.458,0.523
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,369.05,101.325,0.248,0.383,0.415,0.565
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,369.55,101.325,0.548,0.046,0.846,0.135
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,370.5,101.325,0.283,0.221,0.476,0.498
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,371,101.325,0.272,0.218,0.474,0.496
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,372.05,101.325,0.307,0.165,0.518,0.46
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,372.75,101.325,0.302,0.151,0.533,0.435
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,373.85,101.325,0.3,0.132,0.575,0.403
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,374.55,101.325,0.303,0.12,0.561,0.397
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,375.5,101.325,0.301,0.11,0.568,0.398
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,375.95,101.325,0.293,0.107,0.554,0.416
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,376.3,101.325,0.316,0.099,0.6,0.375
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,376.35,101.325,0.306,0.101,0.59,0.385
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,377.9,101.325,0.309,0.093,0.592,0.374
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,378.25,101.325,0.175,0.165,0.372,0.589
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,379.1,101.325,0.281,0.083,0.583,0.368
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,379.75,101.325,0.082,0.176,0.181,0.759
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,380.45,101.325,0.282,0.077,0.605,0.36
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,381.4,101.325,0.277,0.068,0.62,0.347
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,382.35,101.325,0.275,0.066,0.618,0.345
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,383.85,101.325,0.255,0.067,0.598,0.361
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,383.85,101.325,0.187,0.098,0.455,0.48
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,383.95,101.325,0.208,0.087,0.498,0.431
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,384.25,101.325,0.232,0.076,0.556,0.389
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,384.55,101.325,0.252,0.06,0.609,0.34
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,387.6,101.325,0.093,0.117,0.241,0.677
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,387.6,101.325,0.26,0.049,0.655,0.278
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,388.2,101.325,0.111,0.109,0.305,0.636
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,388.5,101.325,0.277,0.035,0.723,0.219
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,388.65,101.325,0.234,0.049,0.617,0.314
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,389.05,101.325,0.305,0.023,0.801,0.15
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,389.5,101.325,0.235,0.043,0.647,0.3
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,391.45,101.325,0.105,0.102,0.312,0.617
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,393.6,101.325,0.145,0.064,0.45,0.481
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,394.85,101.325,0.128,0.061,0.435,0.478
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,395.85,101.325,0.106,0.07,0.368,0.537
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,398.55,101.325,0.11,0.056,0.409,0.479
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,401.55,101.325,0.12,0.044,0.474,0.415
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,402.15,101.325,0.137,0.039,0.53,0.356
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,405.45,101.325,0.148,0.028,0.591,0.283
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,407.7,101.325,0.155,0.018,0.673,0.199
4,Isobaric,Benzene,Heptane,1-Methylpyrrolidin-2-one,409.35,101.325,0.108,0.032,0.488,0.37
5,Isobaric,Benzene,Heptane,Acetonitrile,351.55,101.325,0.907,0.053,0.859,0.046
5,Isobaric,Benzene,Heptane,Acetonitrile,350.45,101.325,0.881,0.051,0.807,0.044
5,Isobaric,Benzene,Heptane,Acetonitrile,348.65,101.325,0.783,0.1,0.686,0.082
5,Isobaric,Benzene,Heptane,Acetonitrile,347.75,101.325,0.679,0.189,0.587,0.14
5,Isobaric,Benzene,Heptane,Acetonitrile,349.45,101.325,0.654,0.259,0.589,0.177
5,Isobaric,Benzene,Heptane,Acetonitrile,346.55,101.325,0.609,0.208,0.498,0.15
5,Isobaric,Benzene,Heptane,Acetonitrile,349.55,101.325,0.531,0.394,0.488,0.224
5,Isobaric,Benzene,Heptane,Acetonitrile,346.25,101.325,0.508,0.319,0.41,0.196
5,Isobaric,Benzene,Heptane,Acetonitrile,347.55,101.325,0.499,0.38,0.428,0.218
5,Isobaric,Benzene,Heptane,Acetonitrile,346.45,101.325,0.478,0.363,0.395,0.214
5,Isobaric,Benzene,Heptane,Acetonitrile,346.35,101.325,0.475,0.359,0.388,0.211
5,Isobaric,Benzene,Heptane,Acetonitrile,344.85,101.325,0.447,0.303,0.339,0.208
6,Isobaric,Acetone,Chloroform,Benzene,351,101.325,0.019,0.061,0.056,0.086
6,Isobaric,Acetone,Chloroform,Benzene,342.73,101.325,0.054,0.522,0.074,0.632
6,Isobaric,Acetone,Chloroform,Benzene,342.42,101.325,0.059,0.535,0.08,0.643
6,Isobaric,Acetone,Chloroform,Benzene,346,101.325,0.063,0.292,0.12,0.364
6,Isobaric,Acetone,Chloroform,Benzene,336.13,101.325,0.067,0.883,0.046,0.929
6,Isobaric,Acetone,Chloroform,Benzene,341.58,101.325,0.071,0.571,0.089,0.672
6,Isobaric,Acetone,Chloroform,Benzene,345.76,101.325,0.075,0.279,0.143,0.343
6,Isobaric,Acetone,Chloroform,Benzene,345.56,101.325,0.075,0.296,0.141,0.364
6,Isobaric,Acetone,Chloroform,Benzene,336.62,101.325,0.083,0.851,0.061,0.904
6,Isobaric,Acetone,Chloroform,Benzene,340.07,101.325,0.092,0.65,0.099,0.74
6,Isobaric,Acetone,Chloroform,Benzene,342.56,101.325,0.095,0.487,0.132,0.569
6,Isobaric,Acetone,Chloroform,Benzene,345.32,101.325,0.096,0.261,0.182,0.312
6,Isobaric,Acetone,Chloroform,Benzene,344.98,101.325,0.101,0.278,0.189,0.329
6,Isobaric,Acetone,Chloroform,Benzene,339.41,101.325,0.106,0.68,0.107,0.761
6,Isobaric,Acetone,Chloroform,Benzene,340.5,101.325,0.11,0.611,0.124,0.694
6,Isobaric,Acetone,Chloroform,Benzene,343.28,101.325,0.111,0.408,0.172,0.475
6,Isobaric,Acetone,Chloroform,Benzene,337.44,101.325,0.118,0.792,0.099,0.846
6,Isobaric,Acetone,Chloroform,Benzene,341.94,101.325,0.124,0.495,0.166,0.564
6,Isobaric,Acetone,Chloroform,Benzene,345.11,101.325,0.13,0.151,0.264,0.169
