Binary_class,MAE_GH_GNN_Margules,R2_GH_GNN_Margules,n_points,MAE_UNIFAC_Do,R2_UNIFAC_Do
Paraffinic Hydrocarbons_Unsaturated Hydrocarbons,0.019822637703621575,0.9880289857050596,230,0.014728173273385997,0.9911995778837137
Amines_Amines,0.03419792806574258,0.9672987885573692,77,0.015016553707750365,0.9875589468004873
Aldehydes_Aromatics,0.013007199285970166,0.9963681127889721,176,0.01512061964706407,0.992603992097687
Alcohols_Aldehydes,0.021436481204171947,0.9894939884548778,49,0.015140274687956411,0.9960446845140566
Alcohols_Alcohols,0.018688819696709488,0.9850253778175396,783,0.015505332989500643,0.9884169855459701
Aromatics_Aromatics,0.02338691818786722,0.9743495717990331,539,0.0156330694355662,0.9738452383647691
Amines_Naphtenic Hydrocarbons,0.018459042637993642,0.9949583773073646,35,0.015692938215369493,0.9967981952495538
Amides_Amines,0.058815508696527095,0.9508901195604432,35,0.015936736886740056,0.9962885105207387
Other Nitrogen Derivatives_Paraffinic Hydrocarbons,0.018087839158494348,0.9929656905949348,33,0.0160549681479098,0.9948403954747862
Alcohols_Esters,0.02449412760791221,0.9757409557468725,2529,0.016134167471728602,0.9833373061578556
Ketones_Nitriles,0.016956247171780528,0.9971924424035242,22,0.016314302830403502,0.9973929538623675
Alcohols_Ethers,0.017247803815792273,0.9903406847825648,800,0.01644615806949709,0.9926230998384646
Amines_Halogenated Derivatives,0.016100664321668276,0.9934478070591519,168,0.0168331637141897,0.9917205147754737
Ethers_Nitriles,0.011147166836874051,0.9977366352343408,69,0.017544983824563095,0.9939716067983846
Alcohols_Unsaturated Hydrocarbons,0.049815541833413364,0.9359234879350581,33,0.01757088226168996,0.9904365059510054
Esters_Ethers,0.015078106295018706,0.9798183429962222,153,0.017688337945531294,0.9793295306948856
Inorganics_Sulfur Derivatives,0.022758404762254016,0.9637203199207728,53,0.01801841924000068,0.9765069186791546
Alcohols_Other Nitrogen Derivatives,0.035125030632460474,0.9663005231274601,241,0.018329476699890972,0.9923918452607424
Alcohols_Naphtenic Hydrocarbons,0.04396070009855789,0.9432798262009273,443,0.01874943324472395,0.9862470641309309
Halogenated Derivatives_Naphtenic Hydrocarbons,0.023091202980799027,0.9623555975046929,418,0.020481191078342335,0.9565879494605106
Ethers_Naphtenic Hydrocarbons,0.020431016964489877,0.9861016703136541,103,0.020658799943329864,0.9861264957083216
Alcohols_Paraffinic Hydrocarbons,0.05154757480868903,0.9247844447505784,2391,0.022111115134541042,0.9655039542481796
Aromatics_Nitriles,0.02444012491978511,0.9862055997256616,434,0.024637795824529383,0.983467563273924
Esters_Paraffinic Hydrocarbons,0.032299667057083904,0.9306754331600284,276,0.026442893704145414,0.9343567145032277
Alcohols_Amines,0.08662922465321146,0.8794893424036565,183,0.02887365415172088,0.9570925009829794
Amides_Aromatics,0.028013581241916063,0.9836809036044847,33,0.029161102604930645,0.9832984230748721
Naphtenic Hydrocarbons_Other Nitrogen Derivatives,0.04550917164553199,0.9686015680009525,22,0.02934068051381028,0.9872259292785999
Acids_Naphtenic Hydrocarbons,0.05883205490042899,0.890943163756285,53,0.03063413359894121,0.9686504579736891
Ethers_Inorganics,0.025952969159074038,0.9736990961421645,62,0.03143798650944756,0.9594667225801
Amides_Ethers,0.027972193994615684,0.9157904697368393,7,0.03199104174126715,0.8858021469033983
Alcohols_Halogenated Derivatives,0.04477872400597359,0.8769884906843605,1952,0.03207160547593145,0.8980214690288031
Inorganics_Ketones,0.060043972058298645,0.8394058069875131,173,0.03292791315323417,0.942216779638939
Halogenated Derivatives_Paraffinic Hydrocarbons,0.03678170591237198,0.9178531615559059,792,0.03315108058652156,0.9306730152327064
Amines_Aromatics,0.017625815491403404,0.9929971272567214,149,0.03319673383993958,0.9609381438453619
Acids_Ketones,0.048667075057603204,0.9639700503887592,28,0.034268787307915265,0.9832082445487751
Acids_Paraffinic Hydrocarbons,0.07245646917653464,0.9121307818994177,106,0.03660161072332915,0.976984323608759
Alcohols_Ketones,0.03358148901747901,0.9420109794158156,583,0.03712844460459217,0.902784644041573
Alcohols_Sulfur Derivatives,0.04386702705915592,0.9590205811900364,270,0.0371399978125206,0.9019724867030836
Acids_Esters,0.04087023481066063,0.9715078450276282,102,0.03993379557373871,0.974899479090679
Acids_Acids,0.062328910343965115,0.9327979645014147,87,0.04174144762286211,0.9719531043947273
Acids_Amides,0.17213135231561422,0.6080604803096834,152,0.04817431834166362,0.9636453979272233
Acids_Inorganics,0.0776578727128639,0.9108716702595586,121,0.04871616719746998,0.9513470468927719
Ethers_Halogenated Derivatives,0.04249257921538696,0.8382418735199169,469,0.049814674396792984,0.8285196518490983
Acids_Aromatics,0.05472591520808081,0.9507117335765776,78,0.053872173821379515,0.9555363026848257
Ketones_Paraffinic Hydrocarbons,0.06290307570452516,0.9045499935561332,83,0.054845490046382075,0.9141641047773877
Esters_Inorganics,0.05446331246973365,0.9135345223643953,42,0.05752401786282245,0.9311006203493384
Amines_Inorganics,0.10560733136826472,0.7330171076296492,174,0.062451296276414346,0.8555263076805423
Ketones_Naphtenic Hydrocarbons,0.04796182143296794,0.8502760071312855,226,0.06266710684839122,0.7444605531589763
Inorganics_Other Nitrogen Derivatives,0.08787717342369915,0.7983122285419432,36,0.06459946438830295,0.8182934947740151
Aromatics_Ethers,0.06879127078821418,0.802350276120894,63,0.06521213028649477,0.7907575409771047
Acids_Unsaturated Hydrocarbons,0.1417464986638397,0.5039211477568285,17,0.08432821879958471,0.806301639931692
Amines_Paraffinic Hydrocarbons,0.09849096391094411,0.5950159016980663,337,0.0989868092716692,0.5910472431304832
Naphtenic Hydrocarbons_Sulfur Derivatives,0.020100863696070368,0.9893283004369118,22,0.11596956144575708,0.6531251358410222
Naphtenic Hydrocarbons_Nitriles,0.05048577094693183,0.9301604811069308,40,0.11988555983536989,0.4004279384841991
Nitriles_Paraffinic Hydrocarbons,0.047442907131052335,0.9479018841151007,17,0.12265382744722203,0.6590649507367667
Acids_Alcohols,0.14367644879679825,0.5465371709580938,122,0.14352041809383365,0.5590031783248524
Acids_Halogenated Derivatives,0.3415552809912868,-0.33747337157285173,21,0.33835668815383274,-0.30537013188373474
