Compound_1,Compound_2,N_points,p_res_avg,y_1_res_avg,y_2_res_avg,is_consistent
1-CHLOROBUTANE,2-CHLOROBUTANE,12,0.0013389892866838935,0.0030395244164185416,0.004366918977069589,True
1-CHLOROBUTANE,ACETONITRILE,9,0.0009331436804130318,0.0012872193623467327,0.0011638627950118557,True
1-CHLOROBUTANE,ACETONITRILE,9,0.002554667150249152,0.004222340338967092,0.00397597244418188,True
1-CHLOROBUTANE,ACETONITRILE,9,0.004482958862137319,0.008179306738757096,0.008006134142111761,True
1-CHLOROBUTANE,BENZENE,9,7.193128977020764e-05,0.00048208729898106047,0.00046987073450061804,True
1-CHLOROBUTANE,BENZENE,9,0.00015403174130429034,0.0012237310879157945,0.0011693045855506812,True
1-CHLOROBUTANE,CARBON TETRACHLORIDE,22,0.00014603499375073656,0.0003722088987526413,0.0004089115000456092,True
1-CHLOROBUTANE,CHLOROBENZENE,9,0.0034544349108666123,0.003910897012970118,0.00045646210210351204,True
1-CHLOROBUTANE,CHLOROBENZENE,9,0.010695090793009086,0.012989179903610457,0.0022940891106013627,False
1-CHLOROBUTANE,CHLOROBENZENE,9,0.022549395062277003,0.02982258744979886,0.007273192387521846,False
1-CHLOROBUTANE,METHYLCYCLOHEXANE,11,0.004689819706637754,0.009510944359004616,0.004821124652366845,True
1-CHLOROBUTANE,N-HEPTANE,11,0.002647971275039556,0.00524249942154168,0.0026080547790177143,True
1-CHLOROBUTANE,TERT-BUTYL CHLORIDE,11,0.012489201497061718,0.008085203278987919,0.020574404776049608,False
1-CHLOROBUTANE,TOLUENE,9,0.002270732192878464,0.003204999580661832,0.0009342673877833496,True
1-CHLOROBUTANE,TOLUENE,11,0.004019324041509864,0.006018874672607139,0.002070259284301616,True
1-CHLOROBUTANE,TOLUENE,9,0.004514329610142386,0.007090798477730722,0.002576468867588345,True
1-CHLOROBUTANE,TOLUENE,9,0.00954714550543987,0.016995720812362378,0.007448575306922506,False
1-CHLOROHEXANE,ETHYLBENZENE,16,0.0014874537687767893,0.0031116402319185067,0.002897104933066169,True
1-CHLOROHEXANE,ETHYLBENZENE,18,0.0004424701299714328,0.0010419259214003449,0.0008291511857033271,True
1-CHLOROHEXANE,N-PROPYLBENZENE,13,0.0038108736662395637,0.007170951482364691,0.0033677547218469465,True
1-DECANOL,"2,2,4-TRIMETHYLPENTANE",15,0.15750910301107363,4.5278207932868395e-05,0.15754052980895816,False
1-HEPTYNE,SULFOLANE,10,2.0433222840819636,2.0450791717087213,0.0017568876267578925,False
1-HEXANOL,"2,2,4-TRIMETHYLPENTANE",12,0.012757962488296802,0.00022672205327317285,0.012984684541569999,False
1-HEXENE,"1,4-DIOXANE",7,27.924153630940797,8.837454897209364,19.647860228708737,False
1-HEXENE,ETHANOL,8,0.020849575430488543,0.031239573567022297,0.016565000930763404,False
1-HEXENE,ETHYL ACETATE,22,0.004642313262164345,0.007998858036438896,0.0037385646098492885,True
1-HEXENE,N-HEXANE,22,0.0005848993193936563,0.0034273221971394072,0.0032755879925914946,True
1-METHYLNAPHTHALENE,ACENAPHTHENE,10,0.013079429055692626,0.02238462668549534,0.009664276432707725,False
1-METHYLNAPHTHALENE,BIPHENYL,10,0.0030410923408892656,0.00913153488333524,0.0062830208109974865,True
1-METHYLNAPHTHALENE,QUINOLINE,8,0.07765609127658976,0.08614056210526595,0.07347090797434154,False
1-METHYLNAPHTHALENE,QUINOLINE,9,0.07651802632543754,0.09628683896164295,0.07295731476692163,False
1-OCTANOL,N-HEXANE,10,0.09171483681796913,8.885394730180041e-05,0.09179522494574689,False
1-OCTENE,"1,4-DIOXANE",7,0.008078986070196794,0.010054386044571212,0.016438332870641115,False
"2,2,3-TRIMETHYLPENTANE",TOLUENE,9,24.2191487167362,3.7445713163467804,21.069956811852542,False
